country,continent,sovereignty_date,sovereignty_date_precision,sovereignty_date_raw,last_subordination_date,last_subordination_date_precision,last_subordination_date_raw,previous_power,notes,capital
Afghanistan,Asia,1863-05-27,full,27 May 1863,2021-08-30,full,30 August 2021,Durrani Empire United States,2021–present: Islamic Emirate of Afghanistan (de facto) 2004–2021: Islamic Republic of Afghanistan (de jure; internationally recognized Government) 2002–2004: Transitional Islamic State of Afghanistan 1996–2001: Islamic Emirate of Afghanistan 2001-2021: American Occupation 1992–2002: Islamic State of Afghanistan 1987–1992: Republic of Afghanistan 1978–1987: Democratic Republic of Afghanistan 1973–1978: Republic of Afghanistan 1926–1973: Kingdom of Afghanistan 1863–1926: Emirate of Afghanistan,Kabul
Albania,Europe,1912-11-28,full,28 Nov 1912,1944-11,month,Nov 1944,Germany,"1992–present: Republic of Albania 1946–92: People's Socialist Republic of Albania 1944–46: Democratic Government of Albania 1943–44: Albanian Kingdom , independent country militarly occupied by Germany 1939–43: Kingdom of Albania , a monarchy in personal union with Italy as the 1928–39: Albanian Kingdom 1925–1928: Albanian Republic 1914–1925: Principality of Albania (via Albanian Declaration of Independence ) 1912–1914: Independent Albania",Tirana
Algeria,Africa,1962-07-03,full,3 July 1962,1962-07-03,full,3 July 1962,France,1962–present: People's Democratic Republic of Algeria (via Évian Accords ),Algiers
Andorra,Europe,1278-09-07,full,7 Sep 1278,1944-11,month,Nov 1944,France,"1278–present: Principality of Andorra (via Paréage of Andorra ; occupied by France 1812–13, 1870, 1914, 1936, 1939, 1944)",Andorra la Vella
Angola,Africa,1975-11-11,full,11 Nov 1975,1975-11-11,full,11 Nov 1975,Portugal,1992–present: Republic of Angola 1975–1992: People's Republic of Angola (via the Alvor Agreement ),Luanda
Antigua and Barbuda,The Americas,1981-11-01,full,1 Nov 1981,1981-11-01,full,1 Nov 1981,United Kingdom,"1981–present: Antigua and Barbuda , a monarchy in personal union with the United Kingdom",St. John's
Argentina,The Americas,1810-05-25,full,25 May 1810,1816-07-09,full,9 July 1816,Spain,"1861–present: Argentine Republic, a federation 1831–1861: Argentine Confederation 1816–1830: United Provinces of South America 1810-1816: United Provinces of the Río de la Plata , monarchy in personal union with Spain",Buenos Aires
Armenia,Asia/Europe,1991-09-23,full,23 Sep 1991,1991-09-23,full,23 Sep 1991,Soviet Union,1991–present: Republic of Armenia,Yerevan
Australia,Oceania,1942-10-09,full,9 Oct 1942,1942-10-09,full,9 Oct 1942,United Kingdom,"1942–present: Commonwealth of Australia, a Federation and a monarchy in personal union with the United Kingdom",Canberra
Austria,Europe,1919-09-10,full,10 September 1919,1955-07-27,full,27 July 1955,World War II Allies ( Allied-occupied Austria ): United Kingdom United States Soviet Union France,"1955–present: Republic of Austria, a federation (via Austrian State Treaty ) 1945–55: Allied-occupied Austria 1938–45: Annexed by Nazi Germany 1934–38: Federal State of Austria ( client state of Italy) 1919–34: First Republic of Austria (via Treaty of Saint Germain ) 1918–19: Republic of German-Austria (via Proclamation of Charles I ) (New State)",Vienna
Azerbaijan,Asia/Europe,1991-08-30,full,30 Aug 1991,1991-08-30,full,30 Aug 1991,Soviet Union,1991–present: Republic of Azerbaijan,Baku
Bahamas,The Americas,1973-07-10,full,10 July 1973,1973-07-10,full,10 July 1973,United Kingdom,"1973–present: Commonwealth of the Bahamas, a monarchy in personal union with the United Kingdom",Nassau
Bahrain,Asia,1971-12-16,full,16 Dec 1971,1971-12-16,full,16 Dec 1971,United Kingdom,1971–present: Kingdom of Bahrain,Manama
Bangladesh,Asia,1971-12-16,full,16 Dec 1971,1971-12-16,full,16 Dec 1971,Pakistan,1972–present: People's Republic of Bangladesh 1971–1972: Provisional Government of the People's Republic of Bangladesh,Dhaka
Barbados,The Americas,1966-11-30,full,30 Nov 1966,1966-11-30,full,30 Nov 1966,United Kingdom,"2021–present: Barbados , a republican state 1966-2021: Barbados , a monarchy in personal union with the United Kingdom",Bridgetown
Belarus,Europe,1991-08-25,full,25 Aug 1991,1991-08-25,full,25 Aug 1991,Soviet Union,1991–present: Republic of Belarus,Minsk
Belgium,Europe,1830-10-04,full,4 Oct 1830,1945,year,1945,Germany,"1830–present: Kingdom of Belgium , a constitutional monarchy . 5th may 1993–present: a federation since the fourth state reform 1830–4th May 1993: a unitary state divided into provinces",Brussels
Belize,The Americas,1981-09-21,full,21 Sep 1981,1981-09-21,full,21 Sep 1981,United Kingdom,"1981–present: Belize , a monarchy in personal union with the United Kingdom",Belmopan
Benin,Africa,1960-08-01,full,1 Aug 1960,1960-08-01,full,1 Aug 1960,France,1990–present: Republic of Benin 1975–1990: People's Republic of Benin 1960–1975: Republic of Dahomey,Porto-Novo
Bhutan,Asia,1616,year,1616,1616,year,1616,Tibet,1616–present: Kingdom of Bhutan,Thimphu
Bolivia,The Americas,1825-08-06,full,6 Aug 1825,1825-08-06,full,6 Aug 1825,Spain,2009–present: Plurinational State of Bolivia 1839–2009: Republic of Bolivia 1836–1839: In union with North Peru and South Peru in the Peru–Bolivian Confederation 1825–1839: Republic of Bolivia,La Paz and Sucre
Bosnia and Herzegovina,Europe,1992-03-03,full,3 Mar 1992,1992-03-03,full,3 Mar 1992,Yugoslavia,"1997–present: Bosnia and Herzegovina, a Federation 1992–1997: Republic of Bosnia and Herzegovina",Sarajevo
Botswana,Africa,1966-09-30,full,30 Sep 1966,1966-09-30,full,30 Sep 1966,United Kingdom,1966–present : Republic of Botswana,Gaborone
Brazil,The Americas,1822-09-07,full,7 Sep 1822,1825-08-29,full,29 Aug 1825,"United Kingdom of Portugal, Brazil and the Algarves",1985–Present: Federative Republic of Brazil (Sixth Brazilian Republic) (a federation ) 1964–1985: Federative Republic of Brazil (Military Dictatorship) (Fifth Brazilian Republic) (a federation ) 1946–1964: United States of Brazil (Fourth Brazilian Republic) (a federation ) 1930–1946: United States of Brazil (Vargas Era) (Second and Third Brazilian Republics) (a federation ) 1889–1930: Republic of the United States of Brazil (First Brazilian Republic) (a federation ) 1822–1889: Empire of Brazil (a unitary state ),Brasília
